

经典轮播,#genre#
崇明功夫台,http://1.95.83.42:8081/yy/1507716299.flv#http://data.3g.yy.com/live/hls/1507716299/1507716299
龙腾功夫,http://120.24.172.11:50001/yy/1356261006

亮剑,http://cfss.cc/cdn/hy/30080238.m3u8
雪豹,http://cfss.cc/cdn/hy/29580970.m3u8
老三国演绎,http://cfss.cc/cdn/hy/11602081.m3u8
永夜星河,http://cfss.cc/cdn/hy/23734169.m3u8
陈情令,http://cfss.cc/cdn/hy/29465862.m3u8
鹿鼎记,http://cfss.cc/cdn/hy/23865080.m3u8
大时代,http://cfss.cc/cdn/hy/23865161.m3u8
柳舟计,http://cfss.cc/cdn/hy/23860039.m3u8
封神榜,http://cfss.cc/cdn/hy/29465849.m3u8
寻秦记,http://cfss.cc/cdn/hy/29465848.m3u8
